Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,simulation_error,corrected_median,raw_error,corrected_error,RE,RE_corr
NZ_CP053893.1.region001,21541.0,9.717190473979851,3.1355268332721056,1.0,7.0,9.0,12.0,36.0,21541,21538,21538,sample_3,0_5GB,NZ_CP053893_1,region001,Genome3,0.2276825232,5984367,1362535.7783148142,202765924.0929664,33.88260180115397,0.03,17.06224170249189,-24.882601801153967,-16.82036009866208,-0.7343769509550037,-0.496430592826824
NZ_CP020566.1.region001,21701.0,41.85148149854845,10.461063036601754,16.0,35.0,40.0,46.0,98.0,21701,21701,21701,sample_3,0_5GB,NZ_CP020566_1,region001,Genome2,0.3252943181,2071952,673994.2129759311,100300529.05942866,48.40871268225744,0.03,75.8321853444084,-8.408712682257438,27.423472662150964,-0.17370246421238472,0.5664986970868594
NZ_LT906470.1.region002,32244.0,14.001333581441507,11.455544744854858,2.0,10.0,12.0,15.0,168.0,32244,32242,32242,sample_3,0_5GB,NZ_LT906470_1,region002,Genome5,0.099161333,2041290,202417.03743957,30122715.529244564,14.75670557796519,0.03,22.74965560332252,-2.7567055779651906,7.992950025357329,-0.18681036654153493,0.5416486751143463
NZ_LT906470.1.region003,21755.0,13.570581475522868,7.600802387638699,2.0,10.0,12.0,15.0,98.0,21755,21739,21739,sample_3,0_5GB,NZ_LT906470_1,region003,Genome5,0.099161333,2041290,202417.03743957,30122715.529244564,14.75670557796519,0.03,22.74965560332252,-2.7567055779651906,7.992950025357329,-0.18681036654153493,0.5416486751143463
NZ_LT906470.1.region001,26313.0,13.278189488085737,8.46875495363396,2.0,10.0,12.0,15.0,94.0,26313,26313,26313,sample_3,0_5GB,NZ_LT906470_1,region001,Genome5,0.099161333,2041290,202417.03743957,30122715.529244564,14.75670557796519,0.03,22.74965560332252,-2.7567055779651906,7.992950025357329,-0.18681036654153493,0.5416486751143463
NZ_LT906445.1.region001,21700.0,28.107741935483872,13.656643027020218,7.0,21.0,24.0,29.0,98.0,21700,21700,21700,sample_3,0_5GB,NZ_LT906445_1,region001,Genome4,0.196041361,2132142,417988.019525262,62202936.89729904,29.173918480710498,0.03,45.49931120664504,-5.173918480710498,16.32539272593454,-0.1773473962413188,0.5595886180572118
NC_014328.1.region003,20732.0,9.87984757862242,4.404227144905993,0.0,7.0,9.0,12.0,35.0,20730,20725,20723,sample_0,0_5GB,NC_014328_1,region003,Genome1,0.1739126949826087,4630065,805227.0820946521,130535209.4106006,28.19295396729864,0.03,17.06224170249189,-19.19295396729864,-11.13071226480675,-0.6807713015656602,-0.3948047543268223
NC_014328.1.region005,21571.0,10.91942886282509,18.217487875791225,1.0,7.0,9.0,11.0,405.0,21571,21570,21570,sample_0,0_5GB,NC_014328_1,region005,Genome1,0.1739126949826087,4630065,805227.0820946521,130535209.4106006,28.19295396729864,0.03,17.06224170249189,-19.19295396729864,-11.13071226480675,-0.6807713015656602,-0.3948047543268223
NC_014328.1.region004,22089.0,11.073339671329622,18.220751854928142,1.0,7.0,9.0,12.0,405.0,22089,22066,22066,sample_0,0_5GB,NC_014328_1,region004,Genome1,0.1739126949826087,4630065,805227.0820946521,130535209.4106006,28.19295396729864,0.03,17.06224170249189,-19.19295396729864,-11.13071226480675,-0.6807713015656602,-0.3948047543268223
NC_014328.1.region002,19021.0,10.21917880237632,4.054124119340663,1.0,8.0,10.0,12.0,35.0,19021,19019,19019,sample_0,0_5GB,NC_014328_1,region002,Genome1,0.1739126949826087,4630065,805227.0820946521,130535209.4106006,28.19295396729864,0.03,18.9580463361021,-18.19295396729864,-9.234907631196538,-0.6453014461840669,-0.32756083814091363
NC_014328.1.region001,18132.0,9.73852856827708,6.623603066720708,1.0,7.0,9.0,11.0,359.0,18132,18086,18086,sample_0,0_5GB,NC_014328_1,region001,Genome1,0.1739126949826087,4630065,805227.0820946521,130535209.4106006,28.19295396729864,0.03,17.06224170249189,-19.19295396729864,-11.13071226480675,-0.6807713015656602,-0.3948047543268223
NZ_CP053893.1.region002,19846.0,35.48327118814875,78.01781552137406,0.0,5.0,7.0,12.0,567.0,19827,19844,19825,sample_0,0_5GB,NZ_CP053893_1,region002,Genome3,0.1427720113857227,5984367,854400.1134603432,138506640.19007358,23.144743661288416,0.03,13.27063243527147,-16.144743661288416,-9.874111226016947,-0.6975555183310107,-0.42662435024209194
NZ_CP053893.1.region005,66020.0,6.054816722205392,2.646568779435221,0.0,4.0,6.0,8.0,36.0,65709,65902,65591,sample_0,0_5GB,NZ_CP053893_1,region005,Genome3,0.1427720113857227,5984367,854400.1134603432,138506640.19007358,23.144743661288416,0.03,11.37482780166126,-17.144743661288416,-11.769915859627156,-0.740761872855152,-0.5085351573503645
NZ_CP053893.1.region004,19578.0,6.81581366840331,3.3935164097955357,0.0,5.0,6.0,8.0,30.0,19548,19578,19548,sample_0,0_5GB,NZ_CP053893_1,region004,Genome3,0.1427720113857227,5984367,854400.1134603432,138506640.19007358,23.144743661288416,0.03,11.37482780166126,-17.144743661288416,-11.769915859627156,-0.740761872855152,-0.5085351573503645
NZ_CP053893.1.region006,20740.0,7.899855351976856,3.7161380787400975,0.0,5.0,7.0,10.0,44.0,20703,20740,20703,sample_0,0_5GB,NZ_CP053893_1,region006,Genome3,0.1427720113857227,5984367,854400.1134603432,138506640.19007358,23.144743661288416,0.03,13.27063243527147,-16.144743661288416,-9.874111226016947,-0.6975555183310107,-0.42662435024209194
NZ_CP053893.1.region003,20374.0,6.422891921075881,6.524530407668448,0.0,4.0,6.0,8.0,203.0,20335,20341,20302,sample_0,0_5GB,NZ_CP053893_1,region003,Genome3,0.1427720113857227,5984367,854400.1134603432,138506640.19007358,23.144743661288416,0.03,11.37482780166126,-17.144743661288416,-11.769915859627156,-0.740761872855152,-0.5085351573503645
NZ_CP053893.1.region001,21541.0,5.772666078640731,2.737525482149542,0.0,4.0,5.0,7.0,46.0,21409,21538,21406,sample_0,0_5GB,NZ_CP053893_1,region001,Genome3,0.1427720113857227,5984367,854400.1134603432,138506640.19007358,23.144743661288416,0.03,9.47902316805105,-18.144743661288416,-13.665720493237366,-0.7839682273792934,-0.5904459644586371
NZ_CP020566.1.region001,21701.0,42.83848670568177,10.86168782851028,21.0,36.0,41.0,47.0,108.0,21701,21701,21701,sample_0,0_5GB,NZ_CP020566_1,region001,Genome2,0.3259798834674019,2071952,675414.6715100503,109491344.17487568,52.84453702348109,0.03,77.7279899780186,-11.844537023481088,24.88345295453751,-0.2241392902774047,0.47088032852820205
NZ_LT906470.1.region002,32244.0,19.02871852127528,12.012744587450594,5.0,14.0,17.0,21.0,186.0,32244,32242,32242,sample_0,0_5GB,NZ_LT906470_1,region002,Genome5,0.1387160781861283,2041290,283159.74324056186,45902972.22046716,22.48723710029793,0.03,32.228678771373566,-5.4872371002979285,9.741441671075638,-0.24401561987467235,0.43319869077853834
NZ_LT906470.1.region003,21755.0,17.80376924844863,7.744100925903194,4.0,14.0,17.0,20.0,108.0,21755,21739,21739,sample_0,0_5GB,NZ_LT906470_1,region003,Genome5,0.1387160781861283,2041290,283159.74324056186,45902972.22046716,22.48723710029793,0.03,32.228678771373566,-5.4872371002979285,9.741441671075638,-0.24401561987467235,0.43319869077853834
NZ_LT906470.1.region001,26313.0,18.618819594877056,9.109250342152896,5.0,14.0,17.0,20.0,105.0,26313,26313,26313,sample_0,0_5GB,NZ_LT906470_1,region001,Genome5,0.1387160781861283,2041290,283159.74324056186,45902972.22046716,22.48723710029793,0.03,32.228678771373566,-5.4872371002979285,9.741441671075638,-0.24401561987467235,0.43319869077853834
NZ_LT906445.1.region001,21700.0,30.93115207373272,13.790989732991893,10.0,23.0,27.0,32.0,108.0,21700,21700,21700,sample_0,0_5GB,NZ_LT906445_1,region001,Genome4,0.218619331978138,2132142,466127.4597225311,75563834.00398302,35.44033840334416,0.03,51.18672510747567,-8.440338403344157,15.74638670413151,-0.23815625876043342,0.44430689472890805
NC_014328.1.region003,20732.0,10.82519776191395,4.887872631430402,1.0,8.0,10.0,13.0,47.0,20732,20725,20725,sample_2,0_5GB,NC_014328_1,region003,Genome1,0.187829421,4630065,869662.428142365,138371841.3664078,29.885507302037404,0.03,18.9580463361021,-19.885507302037404,-10.927460965935303,-0.6653896519495166,-0.3656441517119684
NC_014328.1.region005,21571.0,11.789671317973204,21.16264448268872,1.0,8.0,10.0,12.0,493.0,21571,21570,21570,sample_2,0_5GB,NC_014328_1,region005,Genome1,0.187829421,4630065,869662.428142365,138371841.3664078,29.885507302037404,0.03,18.9580463361021,-19.885507302037404,-10.927460965935303,-0.6653896519495166,-0.3656441517119684
NC_014328.1.region004,22089.0,11.809588482955316,21.39755070272396,0.0,8.0,10.0,12.0,493.0,22087,22066,22064,sample_2,0_5GB,NC_014328_1,region004,Genome1,0.187829421,4630065,869662.428142365,138371841.3664078,29.885507302037404,0.03,18.9580463361021,-19.885507302037404,-10.927460965935303,-0.6653896519495166,-0.3656441517119684
NC_014328.1.region002,19021.0,10.858261921034646,4.597854584382302,1.0,8.0,10.0,13.0,47.0,19021,19019,19019,sample_2,0_5GB,NC_014328_1,region002,Genome1,0.187829421,4630065,869662.428142365,138371841.3664078,29.885507302037404,0.03,18.9580463361021,-19.885507302037404,-10.927460965935303,-0.6653896519495166,-0.3656441517119684
NC_014328.1.region001,18132.0,10.729538936686522,6.8577325617154905,1.0,8.0,10.0,13.0,428.0,18132,18086,18086,sample_2,0_5GB,NC_014328_1,region001,Genome1,0.187829421,4630065,869662.428142365,138371841.3664078,29.885507302037404,0.03,18.9580463361021,-19.885507302037404,-10.927460965935303,-0.6653896519495166,-0.3656441517119684
NZ_CP053893.1.region002,19846.0,36.51829083946387,78.80750964047365,0.0,5.0,7.0,12.0,578.0,19767,19844,19765,sample_2,0_5GB,NZ_CP053893_1,region002,Genome3,0.1472088363,5984367,880951.7020621222,140168075.82407355,23.422372963435155,0.03,13.27063243527147,-16.422372963435155,-10.151740528163685,-0.7011404433304963,-0.4334206676672618
NZ_CP053893.1.region005,66020.0,6.268948803392911,2.696935267676585,0.0,4.0,6.0,8.0,31.0,65794,65902,65676,sample_2,0_5GB,NZ_CP053893_1,region005,Genome3,0.1472088363,5984367,880951.7020621222,140168075.82407355,23.422372963435155,0.03,11.37482780166126,-17.422372963435155,-12.047545161773895,-0.743834665711854,-0.5143605722862243
NZ_CP053893.1.region004,19578.0,6.902186127285729,3.3268408088251875,0.0,5.0,6.0,9.0,25.0,19530,19578,19530,sample_2,0_5GB,NZ_CP053893_1,region004,Genome3,0.1472088363,5984367,880951.7020621222,140168075.82407355,23.422372963435155,0.03,11.37482780166126,-17.422372963435155,-12.047545161773895,-0.743834665711854,-0.5143605722862243
NZ_CP053893.1.region006,20740.0,7.688379942140791,3.3368441868114704,1.0,5.0,7.0,10.0,46.0,20740,20740,20740,sample_2,0_5GB,NZ_CP053893_1,region006,Genome3,0.1472088363,5984367,880951.7020621222,140168075.82407355,23.422372963435155,0.03,13.27063243527147,-16.422372963435155,-10.151740528163685,-0.7011404433304963,-0.4334206676672618
NZ_CP053893.1.region003,20374.0,6.858741533326789,7.141423129748881,0.0,5.0,6.0,8.0,242.0,20361,20341,20328,sample_2,0_5GB,NZ_CP053893_1,region003,Genome3,0.1472088363,5984367,880951.7020621222,140168075.82407355,23.422372963435155,0.03,11.37482780166126,-17.422372963435155,-12.047545161773895,-0.743834665711854,-0.5143605722862243
NZ_CP053893.1.region001,21541.0,5.967457406805626,2.498729367369569,0.0,4.0,6.0,7.0,45.0,21493,21538,21490,sample_2,0_5GB,NZ_CP053893_1,region001,Genome3,0.1472088363,5984367,880951.7020621222,140168075.82407355,23.422372963435155,0.03,11.37482780166126,-17.422372963435155,-12.047545161773895,-0.743834665711854,-0.5143605722862243
NZ_CP020566.1.region001,21701.0,31.83724252338602,13.2266821873926,11.0,25.0,28.0,33.0,104.0,21701,21701,21701,sample_2,0_5GB,NZ_CP020566_1,region001,Genome2,0.2220722844,2071952,460123.1138071488,73210110.55834396,35.333883486849096,0.03,53.08252974108588,-7.333883486849096,17.74864625423678,-0.20755950841290036,0.5023123558111761
NZ_LT906470.1.region002,32244.0,19.511102840838607,12.122495853644969,5.0,15.0,18.0,21.0,161.0,32244,32242,32242,sample_2,0_5GB,NZ_LT906470_1,region002,Genome5,0.138214488,2041290,282135.85220952,44890587.56867571,21.99128373169697,0.03,34.12448340498378,-3.9912837316969707,12.133199673286807,-0.1814938945989844,0.5517276672574922
NZ_LT906470.1.region003,21755.0,18.55784877039761,7.96977012137442,3.0,15.0,18.0,21.0,110.0,21755,21739,21739,sample_2,0_5GB,NZ_LT906470_1,region003,Genome5,0.138214488,2041290,282135.85220952,44890587.56867571,21.99128373169697,0.03,34.12448340498378,-3.9912837316969707,12.133199673286807,-0.1814938945989844,0.5517276672574922
NZ_LT906470.1.region001,26313.0,18.524683616463346,8.700041364689264,4.0,14.0,17.0,21.0,99.0,26313,26313,26313,sample_2,0_5GB,NZ_LT906470_1,region001,Genome5,0.138214488,2041290,282135.85220952,44890587.56867571,21.99128373169697,0.03,32.228678771373566,-4.991283731696971,10.237395039676596,-0.22696645601015195,0.46552057463207586
NZ_LT906445.1.region001,21700.0,39.47087557603687,11.345100456258558,17.0,32.0,37.0,43.0,104.0,21700,21700,21700,sample_2,0_5GB,NZ_LT906445_1,region001,Genome4,0.3046749703,2132142,649610.3005253826,103359384.6824989,48.47678282332927,0.03,70.14477144357777,-11.476782823329273,21.667988620248494,-0.23674802977655757,0.44697662176172415
NC_014328.1.region003,20732.0,10.012010418676445,4.314244553066108,1.0,7.0,9.0,12.0,39.0,20732,20725,20725,sample_4,0_5GB,NC_014328_1,region003,Genome1,0.1620064994837993,4630065,750100.6230324572,117499640.94337858,25.37753594028995,0.03,17.06224170249189,-16.37753594028995,-8.31529423779806,-0.6453556396816525,-0.32766357842474814
NC_014328.1.region005,21571.0,9.96342311436651,16.69885737936643,0.0,6.0,8.0,11.0,368.0,21560,21570,21559,sample_4,0_5GB,NC_014328_1,region005,Genome1,0.1620064994837993,4630065,750100.6230324572,117499640.94337858,25.37753594028995,0.03,15.16643706888168,-17.37753594028995,-10.21109887140827,-0.6847605686059134,-0.40236762526644276
NC_014328.1.region004,22089.0,10.160894562904613,16.83123263759523,1.0,6.0,9.0,11.0,368.0,22089,22066,22066,sample_4,0_5GB,NC_014328_1,region004,Genome1,0.1620064994837993,4630065,750100.6230324572,117499640.94337858,25.37753594028995,0.03,17.06224170249189,-16.37753594028995,-8.31529423779806,-0.6453556396816525,-0.32766357842474814
NC_014328.1.region002,19021.0,9.629041585615898,3.8923643702179382,1.0,7.0,9.0,11.0,39.0,19021,19019,19019,sample_4,0_5GB,NC_014328_1,region002,Genome1,0.1620064994837993,4630065,750100.6230324572,117499640.94337858,25.37753594028995,0.03,17.06224170249189,-16.37753594028995,-8.31529423779806,-0.6453556396816525,-0.32766357842474814
NC_014328.1.region001,18132.0,9.366589455106991,5.964875587094332,0.0,7.0,9.0,11.0,343.0,18126,18086,18080,sample_4,0_5GB,NC_014328_1,region001,Genome1,0.1620064994837993,4630065,750100.6230324572,117499640.94337858,25.37753594028995,0.03,17.06224170249189,-16.37753594028995,-8.31529423779806,-0.6453556396816525,-0.32766357842474814
NZ_CP053893.1.region002,19846.0,40.68991232490174,81.63529738915581,0.0,6.0,9.0,14.0,592.0,19835,19844,19833,sample_4,0_5GB,NZ_CP053893_1,region002,Genome3,0.1776739718822325,5984367,1063266.25409096,166555525.01453266,27.83176984542102,0.03,17.06224170249189,-18.83176984542102,-10.769528142929133,-0.6766285417712768,-0.38695089111269626
NZ_CP053893.1.region005,66020.0,7.603983641320812,3.0464356163792923,0.0,5.0,7.0,9.0,38.0,65953,65902,65835,sample_4,0_5GB,NZ_CP053893_1,region005,Genome3,0.1776739718822325,5984367,1063266.25409096,166555525.01453266,27.83176984542102,0.03,13.27063243527147,-20.83176984542102,-14.561137410149552,-0.7484888658221043,-0.5231840264209859
NZ_CP053893.1.region004,19578.0,8.279293084073961,3.7569490902303015,0.0,6.0,8.0,10.0,38.0,19574,19578,19574,sample_4,0_5GB,NZ_CP053893_1,region004,Genome3,0.1776739718822325,5984367,1063266.25409096,166555525.01453266,27.83176984542102,0.03,15.16643706888168,-19.83176984542102,-12.665332776539342,-0.7125587037966905,-0.4550674587668411
NZ_CP053893.1.region006,20740.0,9.597733847637416,4.3842452396028815,0.0,6.0,9.0,12.0,33.0,20734,20740,20734,sample_4,0_5GB,NZ_CP053893_1,region006,Genome3,0.1776739718822325,5984367,1063266.25409096,166555525.01453266,27.83176984542102,0.03,17.06224170249189,-18.83176984542102,-10.769528142929133,-0.6766285417712768,-0.38695089111269626
NZ_CP053893.1.region003,20374.0,8.199322666143123,7.83509903220664,0.0,6.0,7.0,10.0,252.0,20364,20341,20331,sample_4,0_5GB,NZ_CP053893_1,region003,Genome3,0.1776739718822325,5984367,1063266.25409096,166555525.01453266,27.83176984542102,0.03,13.27063243527147,-20.83176984542102,-14.561137410149552,-0.7484888658221043,-0.5231840264209859
NZ_CP053893.1.region001,21541.0,7.549046005292233,2.809483152600315,0.0,6.0,7.0,9.0,25.0,21536,21538,21533,sample_4,0_5GB,NZ_CP053893_1,region001,Genome3,0.1776739718822325,5984367,1063266.25409096,166555525.01453266,27.83176984542102,0.03,13.27063243527147,-20.83176984542102,-14.561137410149552,-0.7484888658221043,-0.5231840264209859
NZ_CP020566.1.region001,21701.0,34.97926362840422,11.26609993614002,12.0,28.0,32.0,38.0,104.0,21701,21701,21701,sample_4,0_5GB,NZ_CP020566_1,region001,Genome2,0.2547685698745231,2071952,527868.247888658,82688012.3650342,39.90826639084023,0.03,60.66574827552672,-7.908266390840232,20.757481884686484,-0.1981611106178078,0.5201298818996245
NZ_LT906470.1.region002,32244.0,20.98920729438035,11.46681989240724,3.0,16.0,19.0,23.0,165.0,32244,32242,32242,sample_4,0_5GB,NZ_LT906470_1,region002,Genome5,0.1540974178845902,2041290,314557.5181536351,49273916.46426232,24.138616494600136,0.03,36.02028803859399,-5.138616494600136,11.881671543993853,-0.21287949521670624,0.49222670017777576
NZ_LT906470.1.region003,21755.0,20.036543323373937,7.800149066527569,6.0,16.0,19.0,22.0,113.0,21755,21739,21739,sample_4,0_5GB,NZ_LT906470_1,region003,Genome5,0.1540974178845902,2041290,314557.5181536351,49273916.46426232,24.138616494600136,0.03,36.02028803859399,-5.138616494600136,11.881671543993853,-0.21287949521670624,0.49222670017777576
NZ_LT906470.1.region001,26313.0,20.30361418310341,8.509526046255315,4.0,16.0,19.0,22.0,103.0,26313,26313,26313,sample_4,0_5GB,NZ_LT906470_1,region001,Genome5,0.1540974178845902,2041290,314557.5181536351,49273916.46426232,24.138616494600136,0.03,36.02028803859399,-5.138616494600136,11.881671543993853,-0.21287949521670624,0.49222670017777576
NZ_LT906445.1.region001,21700.0,33.2310599078341,11.571949589873585,10.0,26.0,31.0,35.0,104.0,21700,21700,21700,sample_4,0_5GB,NZ_LT906445_1,region001,Genome4,0.2514535408748546,2132142,536134.6555479943,83982905.21279228,39.38898310374838,0.03,58.769943641916505,-8.38898310374838,19.380960538168125,-0.21297790505665676,0.4920401343472046
NC_014328.1.region003,20732.0,13.828333011769246,5.813636674691313,1.0,10.0,13.0,16.0,54.0,20732,20725,20725,sample_1,0_5GB,NC_014328_1,region003,Genome1,0.2345342640234534,4630065,1085908.8871557508,164720987.33288953,35.57638766040855,0.03,24.645460236932728,-22.57638766040855,-10.930927423475822,-0.6345890953266414,-0.30725231374854806
NC_014328.1.region005,21571.0,14.90464048954615,26.1590148642654,1.0,10.0,13.0,15.0,631.0,21571,21570,21570,sample_1,0_5GB,NC_014328_1,region005,Genome1,0.2345342640234534,4630065,1085908.8871557508,164720987.33288953,35.57638766040855,0.03,24.645460236932728,-22.57638766040855,-10.930927423475822,-0.6345890953266414,-0.30725231374854806
NC_014328.1.region004,22089.0,14.695504549775906,26.446821204960926,1.0,10.0,12.0,15.0,631.0,22089,22066,22066,sample_1,0_5GB,NC_014328_1,region004,Genome1,0.2345342640234534,4630065,1085908.8871557508,164720987.33288953,35.57638766040855,0.03,22.74965560332252,-23.57638766040855,-12.82673205708603,-0.6626976264553612,-0.360540597306352
NC_014328.1.region002,19021.0,13.304400399558382,5.612624354001967,1.0,10.0,13.0,15.0,54.0,19021,19019,19019,sample_1,0_5GB,NC_014328_1,region002,Genome1,0.2345342640234534,4630065,1085908.8871557508,164720987.33288953,35.57638766040855,0.03,24.645460236932728,-22.57638766040855,-10.930927423475822,-0.6345890953266414,-0.30725231374854806
NC_014328.1.region001,18132.0,12.878336642400177,8.640765080129189,1.0,10.0,12.0,15.0,496.0,18132,18086,18086,sample_1,0_5GB,NC_014328_1,region001,Genome1,0.2345342640234534,4630065,1085908.8871557508,164720987.33288953,35.57638766040855,0.03,22.74965560332252,-23.57638766040855,-12.82673205708603,-0.6626976264553612,-0.360540597306352
NZ_CP053893.1.region002,19846.0,38.37025093217777,80.96606463750541,0.0,5.0,8.0,13.0,577.0,19826,19844,19824,sample_1,0_5GB,NZ_CP053893_1,region002,Genome3,0.1581769533158177,5984367,946588.93958372,143587612.70940715,23.993784590652137,0.03,15.16643706888168,-15.993784590652137,-8.827347521770458,-0.66658031917496,-0.3679014241550518
NZ_CP053893.1.region005,66020.0,6.864298697364435,2.857558040208625,0.0,5.0,7.0,9.0,45.0,65970,65902,65852,sample_1,0_5GB,NZ_CP053893_1,region005,Genome3,0.1581769533158177,5984367,946588.93958372,143587612.70940715,23.993784590652137,0.03,13.27063243527147,-16.993784590652137,-10.723152155380667,-0.70825777927809,-0.4469137461356703
NZ_CP053893.1.region004,19578.0,7.655633874757381,3.4627173404515696,0.0,5.0,7.0,9.0,29.0,19562,19578,19562,sample_1,0_5GB,NZ_CP053893_1,region004,Genome3,0.1581769533158177,5984367,946588.93958372,143587612.70940715,23.993784590652137,0.03,13.27063243527147,-16.993784590652137,-10.723152155380667,-0.70825777927809,-0.4469137461356703
NZ_CP053893.1.region006,20740.0,8.109353905496626,3.610609445926967,0.0,6.0,8.0,10.0,34.0,20717,20740,20717,sample_1,0_5GB,NZ_CP053893_1,region006,Genome3,0.1581769533158177,5984367,946588.93958372,143587612.70940715,23.993784590652137,0.03,15.16643706888168,-15.993784590652137,-8.827347521770458,-0.66658031917496,-0.3679014241550518
NZ_CP053893.1.region003,20374.0,7.252036909786983,7.5357320266221235,0.0,5.0,7.0,9.0,214.0,20285,20341,20252,sample_1,0_5GB,NZ_CP053893_1,region003,Genome3,0.1581769533158177,5984367,946588.93958372,143587612.70940715,23.993784590652137,0.03,13.27063243527147,-16.993784590652137,-10.723152155380667,-0.70825777927809,-0.4469137461356703
NZ_CP053893.1.region001,21541.0,6.792952973399563,2.8511882409606795,0.0,5.0,7.0,9.0,35.0,21527,21538,21524,sample_1,0_5GB,NZ_CP053893_1,region001,Genome3,0.1581769533158177,5984367,946588.93958372,143587612.70940715,23.993784590652137,0.03,13.27063243527147,-16.993784590652137,-10.723152155380667,-0.70825777927809,-0.4469137461356703
NZ_CP020566.1.region001,21701.0,29.337035159670062,9.851381630959455,9.0,23.0,27.0,32.0,109.0,21701,21701,21701,sample_1,0_5GB,NZ_CP020566_1,region001,Genome2,0.2134665156213466,2071952,442292.3739746804,67091113.62164169,32.38063122197893,0.03,51.18672510747567,-5.3806312219789305,18.806093885496736,-0.16616820052373565,0.5807821890986413
NZ_LT906470.1.region002,32244.0,26.88196253566555,10.793104584801672,9.0,22.0,25.0,29.0,167.0,32244,32242,32242,sample_1,0_5GB,NZ_LT906470_1,region002,Genome5,0.2010783062201078,2041290,410459.1357040439,62262345.29681787,30.501469804299177,0.03,47.395115840255244,-5.501469804299177,16.893646035956067,-0.18036736719893234,0.5538633431223996
