,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,simulation_error,readsGB
304,NC_014328.1.region003,20732.0,1.2111229017943277,1.2096144010073395,0.0,0.0,1.0,2.0,10.0,13922,20725,13915,sample_1,0_1GB,NC_014328_1,region003,Genome1,0.1071690597107169,4630065,496199.71244950045,14985305.983080372,3.2365217298418862,0.03,0.1
242,NC_014328.1.region004,22089.0,2.209832948526416,3.644147244550674,0.0,1.0,2.0,3.0,74.0,18834,22066,18811,sample_3,0_1GB,NC_014328_1,region004,Genome1,0.1671582227,4630065,773953.4363854754,24526475.79693054,5.29722062150975,0.03,0.1
258,NC_014328.1.region004,22089.0,1.8658608357100817,3.06133386209708,0.0,1.0,1.0,2.0,59.0,17760,22066,17739,sample_0,0_1GB,NC_014328_1,region004,Genome1,0.1427720113857227,4630065,661043.6928966362,20039381.78324297,4.328099450708138,0.03,0.1
274,NC_014328.1.region004,22089.0,2.4379555434831817,4.740605848397576,0.0,1.0,2.0,3.0,107.0,19468,22066,19445,sample_2,0_1GB,NC_014328_1,region004,Genome1,0.2041241841795875,4630065,945108.2408234618,26242589.848935165,5.667866401213625,0.03,0.1
290,NC_014328.1.region004,22089.0,3.908959210466748,6.813478121177912,0.0,2.0,3.0,5.0,157.0,21331,22066,21308,sample_4,0_1GB,NC_014328_1,region004,Genome1,0.3052909686,4630065,1413517.028530959,39603458.22508357,8.553542601471808,0.03,0.1
306,NC_014328.1.region004,22089.0,1.408574403549278,2.7092910286532668,0.0,0.0,1.0,2.0,65.0,15356,22066,15333,sample_1,0_1GB,NC_014328_1,region004,Genome1,0.1071690597107169,4630065,496199.71244950045,14985305.983080372,3.2365217298418862,0.03,0.1
241,NC_014328.1.region005,21571.0,2.182049974502805,3.600482181625149,0.0,1.0,2.0,3.0,74.0,18566,21570,18565,sample_3,0_1GB,NC_014328_1,region005,Genome1,0.1671582227,4630065,773953.4363854754,24526475.79693054,5.29722062150975,0.03,0.1
257,NC_014328.1.region005,21571.0,1.8580501599369523,3.165613735030325,0.0,1.0,1.0,2.0,65.0,17050,21570,17049,sample_0,0_1GB,NC_014328_1,region005,Genome1,0.1427720113857227,4630065,661043.6928966362,20039381.78324297,4.328099450708138,0.03,0.1
273,NC_014328.1.region005,21571.0,2.4765194010477027,4.742770684252637,0.0,1.0,2.0,3.0,107.0,18887,21570,18886,sample_2,0_1GB,NC_014328_1,region005,Genome1,0.2041241841795875,4630065,945108.2408234618,26242589.848935165,5.667866401213625,0.03,0.1
289,NC_014328.1.region005,21571.0,3.904315979787678,7.064562545436805,0.0,2.0,3.0,5.0,157.0,20642,21570,20641,sample_4,0_1GB,NC_014328_1,region005,Genome1,0.3052909686,4630065,1413517.028530959,39603458.22508357,8.553542601471808,0.03,0.1
305,NC_014328.1.region005,21571.0,1.3680867831811228,2.905746954890721,0.0,0.0,1.0,2.0,65.0,14077,21570,14076,sample_1,0_1GB,NC_014328_1,region005,Genome1,0.1071690597107169,4630065,496199.71244950045,14985305.983080372,3.2365217298418862,0.03,0.1
251,NZ_CP020566.1.region001,21701.0,8.080779687572,3.519369662401299,0.0,6.0,8.0,10.0,26.0,21676,21701,21676,sample_3,0_1GB,NZ_CP020566_1,region001,Genome2,0.303454369,2071952,628742.886758288,19924773.855372973,9.6164263725091,0.03,0.1
267,NZ_CP020566.1.region001,21701.0,8.692917377079397,3.4344124686252413,0.0,6.0,8.0,11.0,24.0,21691,21701,21691,sample_0,0_1GB,NZ_CP020566_1,region001,Genome2,0.3259798834674019,2071952,675414.6715100503,20475034.570082366,9.882002367855224,0.03,0.1
283,NZ_CP020566.1.region001,21701.0,5.630523938988986,2.8873116747317003,0.0,4.0,5.0,7.0,23.0,21557,21701,21557,sample_2,0_1GB,NZ_CP020566_1,region001,Genome2,0.2093843488790615,2071952,433834.3204286692,12046171.688738553,5.813924110567499,0.03,0.1
299,NZ_CP020566.1.region001,21701.0,4.531311921109626,2.70844364605424,0.0,3.0,4.0,6.0,20.0,21394,21701,21394,sample_4,0_1GB,NZ_CP020566_1,region001,Genome2,0.1565927556,2071952,324452.6731509312,9090408.978308368,4.387364658210406,0.03,0.1
315,NZ_CP020566.1.region001,21701.0,6.996037048983918,3.106672313863198,0.0,5.0,7.0,9.0,26.0,21686,21701,21686,sample_1,0_1GB,NZ_CP020566_1,region001,Genome2,0.256929741125693,2071952,532346.0909848618,16076932.054080492,7.759316844251455,0.03,0.1
250,NZ_CP053893.1.region001,21541.0,1.5366046144561534,1.3808342462014518,0.0,0.0,1.0,2.0,9.0,16028,21538,16028,sample_3,0_1GB,NZ_CP053893_1,region001,Genome3,0.1655945985,5984367,990978.8506416494,31403980.721428048,5.247669590021475,0.03,0.1
266,NZ_CP053893.1.region001,21541.0,2.096838586880832,1.443777586411307,0.0,1.0,2.0,3.0,12.0,18959,21538,18959,sample_0,0_1GB,NZ_CP053893_1,region001,Genome3,0.218619331978138,5984367,1308298.3158520136,39660751.20216265,6.627392872489714,0.03,0.1
282,NZ_CP053893.1.region001,21541.0,2.2688825959797594,1.555930816538354,0.0,1.0,2.0,3.0,10.0,18958,21538,18955,sample_2,0_1GB,NZ_CP053893_1,region001,Genome3,0.2555441281744456,5984367,1529269.8476909224,42462862.60960954,7.095631435974689,0.03,0.1
298,NZ_CP053893.1.region001,21541.0,1.6386425885520637,1.3211934672013517,0.0,1.0,1.0,2.0,10.0,17060,21538,17057,sample_4,0_1GB,NZ_CP053893_1,region001,Genome3,0.1808401188,5984367,1082213.6392227996,30321108.12001943,5.066719357288654,0.03,0.1
314,NZ_CP053893.1.region001,21541.0,2.09201058446683,1.4232718107382878,0.0,1.0,2.0,3.0,12.0,18952,21538,18949,sample_1,0_1GB,NZ_CP053893_1,region001,Genome3,0.2446251127244625,5984367,1463926.4519595534,44210799.13780027,7.387715214959288,0.03,0.1
245,NZ_CP053893.1.region002,19846.0,7.738486344855387,16.455145663353797,0.0,1.0,2.0,4.0,128.0,15648,19844,15648,sample_3,0_1GB,NZ_CP053893_1,region002,Genome3,0.1655945985,5984367,990978.8506416494,31403980.721428048,5.247669590021475,0.03,0.1
261,NZ_CP053893.1.region002,19846.0,9.536682454902753,17.951196114286947,0.0,1.0,2.0,5.0,139.0,17167,19844,17165,sample_0,0_1GB,NZ_CP053893_1,region002,Genome3,0.218619331978138,5984367,1308298.3158520136,39660751.20216265,6.627392872489714,0.03,0.1
277,NZ_CP053893.1.region002,19846.0,10.82999093016225,19.595339851226235,0.0,1.0,3.0,5.0,130.0,17738,19844,17736,sample_2,0_1GB,NZ_CP053893_1,region002,Genome3,0.2555441281744456,5984367,1529269.8476909224,42462862.60960954,7.095631435974689,0.03,0.1
293,NZ_CP053893.1.region002,19846.0,8.640179381235514,17.7315804533799,0.0,1.0,2.0,4.0,128.0,16127,19844,16125,sample_4,0_1GB,NZ_CP053893_1,region002,Genome3,0.1808401188,5984367,1082213.6392227996,30321108.12001943,5.066719357288654,0.03,0.1
309,NZ_CP053893.1.region002,19846.0,9.995414693137157,18.01631435406055,0.0,1.0,3.0,5.0,127.0,17833,19844,17831,sample_1,0_1GB,NZ_CP053893_1,region002,Genome3,0.2446251127244625,5984367,1463926.4519595534,44210799.13780027,7.387715214959288,0.03,0.1
249,NZ_CP053893.1.region003,20374.0,1.50638068126043,2.0425776420297077,0.0,0.0,1.0,2.0,54.0,14841,20341,14815,sample_3,0_1GB,NZ_CP053893_1,region003,Genome3,0.1655945985,5984367,990978.8506416494,31403980.721428048,5.247669590021475,0.03,0.1
265,NZ_CP053893.1.region003,20374.0,1.8769510160007852,2.2440824761965628,0.0,1.0,2.0,3.0,66.0,16342,20341,16317,sample_0,0_1GB,NZ_CP053893_1,region003,Genome3,0.218619331978138,5984367,1308298.3158520136,39660751.20216265,6.627392872489714,0.03,0.1
281,NZ_CP053893.1.region003,20374.0,2.2373613428879944,2.648839572275714,0.0,1.0,2.0,3.0,69.0,17593,20341,17560,sample_2,0_1GB,NZ_CP053893_1,region003,Genome3,0.2555441281744456,5984367,1529269.8476909224,42462862.60960954,7.095631435974689,0.03,0.1
297,NZ_CP053893.1.region003,20374.0,1.6828310591930893,1.9227006550905632,0.0,1.0,1.0,2.0,42.0,15817,20341,15799,sample_4,0_1GB,NZ_CP053893_1,region003,Genome3,0.1808401188,5984367,1082213.6392227996,30321108.12001943,5.066719357288654,0.03,0.1
313,NZ_CP053893.1.region003,20374.0,2.202365760282713,2.6152955047666726,0.0,1.0,2.0,3.0,68.0,17750,20341,17717,sample_1,0_1GB,NZ_CP053893_1,region003,Genome3,0.2446251127244625,5984367,1463926.4519595534,44210799.13780027,7.387715214959288,0.03,0.1
247,NZ_CP053893.1.region004,19578.0,1.6081315762590662,1.409937538453999,0.0,1.0,1.0,2.0,13.0,15199,19578,15199,sample_3,0_1GB,NZ_CP053893_1,region004,Genome3,0.1655945985,5984367,990978.8506416494,31403980.721428048,5.247669590021475,0.03,0.1
263,NZ_CP053893.1.region004,19578.0,2.236847481867402,1.6752594620042005,0.0,1.0,2.0,3.0,14.0,16990,19578,16990,sample_0,0_1GB,NZ_CP053893_1,region004,Genome3,0.218619331978138,5984367,1308298.3158520136,39660751.20216265,6.627392872489714,0.03,0.1
279,NZ_CP053893.1.region004,19578.0,2.305700275819797,1.6668325923144005,0.0,1.0,2.0,3.0,12.0,17230,19578,17230,sample_2,0_1GB,NZ_CP053893_1,region004,Genome3,0.2555441281744456,5984367,1529269.8476909224,42462862.60960954,7.095631435974689,0.03,0.1
295,NZ_CP053893.1.region004,19578.0,1.5164470323832873,1.4218000036302385,0.0,0.0,1.0,2.0,9.0,14405,19578,14405,sample_4,0_1GB,NZ_CP053893_1,region004,Genome3,0.1808401188,5984367,1082213.6392227996,30321108.12001943,5.066719357288654,0.03,0.1
311,NZ_CP053893.1.region004,19578.0,2.463836959852896,1.7970379755016084,0.0,1.0,2.0,3.0,13.0,17527,19578,17527,sample_1,0_1GB,NZ_CP053893_1,region004,Genome3,0.2446251127244625,5984367,1463926.4519595534,44210799.13780027,7.387715214959288,0.03,0.1
246,NZ_CP053893.1.region005,66020.0,1.393365646773705,1.2112128935835038,0.0,0.0,1.0,2.0,9.0,49380,65902,49300,sample_3,0_1GB,NZ_CP053893_1,region005,Genome3,0.1655945985,5984367,990978.8506416494,31403980.721428048,5.247669590021475,0.03,0.1
262,NZ_CP053893.1.region005,66020.0,1.758467131172372,1.3932936386843584,0.0,1.0,2.0,3.0,14.0,53396,65902,53285,sample_0,0_1GB,NZ_CP053893_1,region005,Genome3,0.218619331978138,5984367,1308298.3158520136,39660751.20216265,6.627392872489714,0.03,0.1
278,NZ_CP053893.1.region005,66020.0,2.1097697667373523,1.5515864682087548,0.0,1.0,2.0,3.0,12.0,57012,65902,56894,sample_2,0_1GB,NZ_CP053893_1,region005,Genome3,0.2555441281744456,5984367,1529269.8476909224,42462862.60960954,7.095631435974689,0.03,0.1
294,NZ_CP053893.1.region005,66020.0,1.5931535898212663,1.3385771586370965,0.0,1.0,1.0,2.0,8.0,50850,65902,50779,sample_4,0_1GB,NZ_CP053893_1,region005,Genome3,0.1808401188,5984367,1082213.6392227996,30321108.12001943,5.066719357288654,0.03,0.1
310,NZ_CP053893.1.region005,66020.0,2.1213117237200847,1.4891795531768774,0.0,1.0,2.0,3.0,11.0,57349,65902,57238,sample_1,0_1GB,NZ_CP053893_1,region005,Genome3,0.2446251127244625,5984367,1463926.4519595534,44210799.13780027,7.387715214959288,0.03,0.1
248,NZ_CP053893.1.region006,20740.0,1.8053037608486016,1.5400501616898783,0.0,1.0,2.0,3.0,13.0,16457,20740,16457,sample_3,0_1GB,NZ_CP053893_1,region006,Genome3,0.1655945985,5984367,990978.8506416494,31403980.721428048,5.247669590021475,0.03,0.1
264,NZ_CP053893.1.region006,20740.0,2.227434908389585,1.7373486477643476,0.0,1.0,2.0,3.0,11.0,17981,20740,17981,sample_0,0_1GB,NZ_CP053893_1,region006,Genome3,0.218619331978138,5984367,1308298.3158520136,39660751.20216265,6.627392872489714,0.03,0.1
280,NZ_CP053893.1.region006,20740.0,2.580665380906461,1.9514089415138296,0.0,1.0,2.0,4.0,15.0,18493,20740,18493,sample_2,0_1GB,NZ_CP053893_1,region006,Genome3,0.2555441281744456,5984367,1529269.8476909224,42462862.60960954,7.095631435974689,0.03,0.1
296,NZ_CP053893.1.region006,20740.0,1.7762295081967212,1.56546214796321,0.0,1.0,1.0,3.0,9.0,16233,20740,16233,sample_4,0_1GB,NZ_CP053893_1,region006,Genome3,0.1808401188,5984367,1082213.6392227996,30321108.12001943,5.066719357288654,0.03,0.1
312,NZ_CP053893.1.region006,20740.0,2.578929604628737,1.783090126064134,0.0,1.0,2.0,4.0,13.0,18708,20740,18708,sample_1,0_1GB,NZ_CP053893_1,region006,Genome3,0.2446251127244625,5984367,1463926.4519595534,44210799.13780027,7.387715214959288,0.03,0.1
255,NZ_LT906445.1.region001,21700.0,5.819861751152073,3.642327369933623,0.0,4.0,5.0,7.0,26.0,21553,21700,21553,sample_3,0_1GB,NZ_LT906445_1,region001,Genome4,0.2124527201,2132142,452979.3675394542,14354852.594687471,6.732596888334582,0.03,0.1
271,NZ_LT906445.1.region001,21700.0,5.412857142857143,3.7807084078420656,0.0,3.0,5.0,7.0,24.0,21255,21700,21255,sample_0,0_1GB,NZ_LT906445_1,region001,Genome4,0.1739126949826087,2132142,370806.5613056093,11240912.408034272,5.272121841807099,0.03,0.1
287,NZ_LT906445.1.region001,21700.0,5.101198156682028,2.82650194942487,0.0,3.0,5.0,6.0,23.0,21518,21700,21518,sample_2,0_1GB,NZ_LT906445_1,region001,Genome4,0.1943501142805649,2132142,414382.0413623922,11506045.003652658,5.396472187899613,0.03,0.1
303,NZ_LT906445.1.region001,21700.0,5.615668202764977,2.8042638429307214,0.0,4.0,5.0,7.0,20.0,21570,21700,21570,sample_4,0_1GB,NZ_LT906445_1,region001,Genome4,0.2167059185,2132142,462047.7904824271,12945504.015173018,6.071595613787927,0.03,0.1
319,NZ_LT906445.1.region001,21700.0,5.912304147465438,3.1968038066498554,0.0,4.0,5.0,7.0,26.0,21614,21700,21614,sample_1,0_1GB,NZ_LT906445_1,region001,Genome4,0.2208158466220816,2132142,470810.7408484983,14218555.220250225,6.668671795898314,0.03,0.1
254,NZ_LT906470.1.region001,26313.0,3.9871166343632423,2.545202718188509,0.0,2.0,4.0,5.0,28.0,25847,26313,25847,sample_3,0_1GB,NZ_LT906470_1,region001,Genome5,0.1513400897,2041290,308929.01170371304,9789917.031580975,4.795946206360182,0.03,0.1
270,NZ_LT906470.1.region001,26313.0,3.695435716185916,2.447310542796263,0.0,2.0,3.0,5.0,23.0,25271,26313,25271,sample_0,0_1GB,NZ_LT906470_1,region001,Genome5,0.1387160781861283,2041290,283159.74324056186,8583920.036477739,4.205144803765138,0.03,0.1
286,NZ_LT906470.1.region001,26313.0,3.803063124691217,2.389146695667884,0.0,2.0,3.0,5.0,22.0,25366,26313,25366,sample_2,0_1GB,NZ_LT906470_1,region001,Genome5,0.1365972244863403,2041290,278834.5483717216,7742330.849064071,3.792861792819281,0.03,0.1
302,NZ_LT906470.1.region001,26313.0,3.8580549538251057,2.339584566980311,0.0,2.0,4.0,5.0,22.0,25559,26313,25559,sample_4,0_1GB,NZ_LT906470_1,region001,Genome5,0.1405702385,2041290,286944.622147665,8039520.661415607,3.938451009614316,0.03,0.1
318,NZ_LT906470.1.region001,26313.0,4.574202865503743,2.450772311624111,0.0,3.0,4.0,6.0,23.0,25997,26313,25997,sample_1,0_1GB,NZ_LT906470_1,region001,Genome5,0.170460239817046,2041290,347958.7829361378,10508407.604788646,5.147924892978776,0.03,0.1
252,NZ_LT906470.1.region002,32244.0,4.092606376380102,3.098079745581358,0.0,2.0,4.0,5.0,46.0,31493,32242,31491,sample_3,0_1GB,NZ_LT906470_1,region002,Genome5,0.1513400897,2041290,308929.01170371304,9789917.031580975,4.795946206360182,0.03,0.1
268,NZ_LT906470.1.region002,32244.0,3.825362858206178,2.918071064192889,0.0,2.0,3.0,5.0,42.0,31209,32242,31207,sample_0,0_1GB,NZ_LT906470_1,region002,Genome5,0.1387160781861283,2041290,283159.74324056186,8583920.036477739,4.205144803765138,0.03,0.1
284,NZ_LT906470.1.region002,32244.0,3.733593846917256,2.690783888381531,0.0,2.0,3.0,5.0,38.0,31075,32242,31073,sample_2,0_1GB,NZ_LT906470_1,region002,Genome5,0.1365972244863403,2041290,278834.5483717216,7742330.849064071,3.792861792819281,0.03,0.1
300,NZ_LT906470.1.region002,32244.0,3.67138072199479,2.805747454816605,0.0,2.0,3.0,5.0,37.0,31080,32242,31078,sample_4,0_1GB,NZ_LT906470_1,region002,Genome5,0.1405702385,2041290,286944.622147665,8039520.661415607,3.938451009614316,0.03,0.1
316,NZ_LT906470.1.region002,32244.0,4.708162758962908,3.053380759424478,0.0,3.0,4.0,6.0,38.0,31906,32242,31904,sample_1,0_1GB,NZ_LT906470_1,region002,Genome5,0.170460239817046,2041290,347958.7829361378,10508407.604788646,5.147924892978776,0.03,0.1
253,NZ_LT906470.1.region003,21755.0,3.726315789473684,2.1772018674051066,0.0,2.0,3.0,5.0,25.0,21365,21739,21349,sample_3,0_1GB,NZ_LT906470_1,region003,Genome5,0.1513400897,2041290,308929.01170371304,9789917.031580975,4.795946206360182,0.03,0.1
269,NZ_LT906470.1.region003,21755.0,3.92861411169846,2.5712977306507816,0.0,2.0,4.0,5.0,30.0,21090,21739,21074,sample_0,0_1GB,NZ_LT906470_1,region003,Genome5,0.1387160781861283,2041290,283159.74324056186,8583920.036477739,4.205144803765138,0.03,0.1
285,NZ_LT906470.1.region003,21755.0,3.332291427258101,2.1498824057114163,0.0,2.0,3.0,4.0,23.0,20603,21739,20587,sample_2,0_1GB,NZ_LT906470_1,region003,Genome5,0.1365972244863403,2041290,278834.5483717216,7742330.849064071,3.792861792819281,0.03,0.1
301,NZ_LT906470.1.region003,21755.0,3.783222247759136,2.2513281107845304,0.0,2.0,3.0,5.0,20.0,21088,21739,21072,sample_4,0_1GB,NZ_LT906470_1,region003,Genome5,0.1405702385,2041290,286944.622147665,8039520.661415607,3.938451009614316,0.03,0.1
317,NZ_LT906470.1.region003,21755.0,4.654102505171225,2.537410822048241,0.0,3.0,4.0,6.0,26.0,21485,21739,21469,sample_1,0_1GB,NZ_LT906470_1,region003,Genome5,0.170460239817046,2041290,347958.7829361378,10508407.604788646,5.147924892978776,0.03,0.1
164,NC_014328.1.region001,18132.0,3.694021619236709,2.78801171409614,0.0,2.0,3.0,5.0,118.0,17654,18086,17608,sample_3,0_2GB,NC_014328_1,region001,Genome1,0.1671582227,4630065,773953.4363854754,49139411.69477098,10.613114868748276,0.03,0.2
180,NC_014328.1.region001,18132.0,3.319931612618575,2.587917738988432,0.0,2.0,3.0,4.0,137.0,17599,18086,17553,sample_0,0_2GB,NC_014328_1,region001,Genome1,0.1427720113857227,4630065,661043.6928966362,40117652.4143484,8.664598102693677,0.03,0.2
196,NC_014328.1.region001,18132.0,4.694131921464813,3.160128650004065,0.0,3.0,4.0,6.0,165.0,17990,18086,17944,sample_2,0_2GB,NC_014328_1,region001,Genome1,0.2041241841795875,4630065,945108.2408234618,52561757.55930402,11.352272065144662,0.03,0.2
212,NC_014328.1.region001,18132.0,7.07313037723362,4.393683255135563,0.0,5.0,7.0,9.0,250.0,18112,18086,18066,sample_4,0_2GB,NC_014328_1,region001,Genome1,0.3052909686,4630065,1413517.028530959,79360717.88138433,17.14030318826719,0.03,0.2
228,NC_014328.1.region001,18132.0,2.436079858813148,2.0728941648723107,0.0,1.0,2.0,3.0,99.0,16465,18086,16419,sample_1,0_2GB,NC_014328_1,region001,Genome1,0.1071690597107169,4630065,496199.71244950045,30012077.522102453,6.481999177571471,0.03,0.2
163,NC_014328.1.region002,19021.0,3.576836128489564,2.287015352326578,0.0,2.0,3.0,5.0,21.0,18279,19019,18277,sample_3,0_2GB,NC_014328_1,region002,Genome1,0.1671582227,4630065,773953.4363854754,49139411.69477098,10.613114868748276,0.03,0.2
179,NC_014328.1.region002,19021.0,3.332842647600021,1.9404891303720204,0.0,2.0,3.0,4.0,14.0,18285,19019,18283,sample_0,0_2GB,NC_014328_1,region002,Genome1,0.1427720113857227,4630065,661043.6928966362,40117652.4143484,8.664598102693677,0.03,0.2
195,NC_014328.1.region002,19021.0,4.667315072814258,2.7043677895109512,0.0,3.0,4.0,6.0,21.0,18539,19019,18537,sample_2,0_2GB,NC_014328_1,region002,Genome1,0.2041241841795875,4630065,945108.2408234618,52561757.55930402,11.352272065144662,0.03,0.2
211,NC_014328.1.region002,19021.0,6.7346091162399455,3.219651694778112,0.0,5.0,6.0,8.0,28.0,18973,19019,18971,sample_4,0_2GB,NC_014328_1,region002,Genome1,0.3052909686,4630065,1413517.028530959,79360717.88138433,17.14030318826719,0.03,0.2
227,NC_014328.1.region002,19021.0,2.667209925871405,1.8226787065284933,0.0,1.0,2.0,4.0,14.0,17514,19019,17512,sample_1,0_2GB,NC_014328_1,region002,Genome1,0.1071690597107169,4630065,496199.71244950045,30012077.522102453,6.481999177571471,0.03,0.2
160,NC_014328.1.region003,20732.0,4.193372564152035,2.422935699398684,0.0,3.0,4.0,5.0,21.0,20360,20725,20353,sample_3,0_2GB,NC_014328_1,region003,Genome1,0.1671582227,4630065,773953.4363854754,49139411.69477098,10.613114868748276,0.03,0.2
176,NC_014328.1.region003,20732.0,3.5937680879799343,2.072357524691071,0.0,2.0,3.0,5.0,14.0,20049,20725,20042,sample_0,0_2GB,NC_014328_1,region003,Genome1,0.1427720113857227,4630065,661043.6928966362,40117652.4143484,8.664598102693677,0.03,0.2
192,NC_014328.1.region003,20732.0,4.704321821338993,2.668122858725455,0.0,3.0,4.0,6.0,21.0,20385,20725,20378,sample_2,0_2GB,NC_014328_1,region003,Genome1,0.2041241841795875,4630065,945108.2408234618,52561757.55930402,11.352272065144662,0.03,0.2
208,NC_014328.1.region003,20732.0,6.921956395909705,3.337146315819961,0.0,5.0,6.0,9.0,28.0,20715,20725,20708,sample_4,0_2GB,NC_014328_1,region003,Genome1,0.3052909686,4630065,1413517.028530959,79360717.88138433,17.14030318826719,0.03,0.2
224,NC_014328.1.region003,20732.0,2.443565502604669,1.7663829177528294,0.0,1.0,2.0,3.0,16.0,18422,20725,18415,sample_1,0_2GB,NC_014328_1,region003,Genome1,0.1071690597107169,4630065,496199.71244950045,30012077.522102453,6.481999177571471,0.03,0.2
162,NC_014328.1.region004,22089.0,4.333740775951831,7.094933888327817,0.0,2.0,4.0,5.0,154.0,21542,22066,21519,sample_3,0_2GB,NC_014328_1,region004,Genome1,0.1671582227,4630065,773953.4363854754,49139411.69477098,10.613114868748276,0.03,0.2
178,NC_014328.1.region004,22089.0,3.542260853818642,5.718910722672654,0.0,2.0,3.0,4.0,122.0,20854,22066,20831,sample_0,0_2GB,NC_014328_1,region004,Genome1,0.1427720113857227,4630065,661043.6928966362,40117652.4143484,8.664598102693677,0.03,0.2
194,NC_014328.1.region004,22089.0,5.210693105165467,9.139838394858776,0.0,3.0,4.0,6.0,205.0,21731,22066,21708,sample_2,0_2GB,NC_014328_1,region004,Genome1,0.2041241841795875,4630065,945108.2408234618,52561757.55930402,11.352272065144662,0.03,0.2
210,NC_014328.1.region004,22089.0,7.584725428946535,12.726680043561586,0.0,5.0,6.0,8.0,306.0,22050,22066,22027,sample_4,0_2GB,NC_014328_1,region004,Genome1,0.3052909686,4630065,1413517.028530959,79360717.88138433,17.14030318826719,0.03,0.2
